index, exposure (ty), pp, 7Be, 13N, 15O, pep
3122, 624.9003800760152, 0.0819287052213138, 0.8495147652739201, 15.234623575431607, 18.65059757802074, 27.227655001056494
3123, 625.1002200440088, 0.08191266167314944, 0.8493789252524676, 15.232519714706255, 18.648090195245924, 27.223892093797136
3124, 625.3000600120024, 0.08189662668832184, 0.8492431503840918, 15.230416833091876, 18.645583969705857, 27.220130886268755
3125, 625.4998999799959, 0.08188060025945433, 0.8491074406167195, 15.228314929812559, 18.64307890048817, 27.216371377171043
3126, 625.6997399479895, 0.08186458237917904, 0.848971795898335, 15.226214004093267, 18.640574986681514, 27.212613565205068
3127, 625.8995799159832, 0.08184857304013672, 0.8488362161769817, 15.224114055159815, 18.63807222737554, 27.208857449073314
3128, 626.0994198839768, 0.08183257223497696, 0.848700701400761, 15.222015082238908, 18.63557062166092, 27.205103027479666
3129, 626.2992598519704, 0.08181657995635801, 0.8485652515178317, 15.219917084558093, 18.633070168629352, 27.201350299129395
3130, 626.4990998199639, 0.08180059619694681, 0.8484298664764109, 15.217820061345794, 18.63057086737353, 27.19759926272917
3131, 626.6989397879576, 0.08178462094941898, 0.8482945462247737, 15.215724011831291, 18.62807271698716, 27.193849916987055
3132, 626.8987797559512, 0.08176865420645885, 0.8481592907112528, 15.213628935244724, 18.62557571656496, 27.190102260612502
3133, 627.0986197239448, 0.08175269596075935, 0.8480240998842383, 15.211534830817106, 18.62307986520266, 27.18635629231635
3134, 627.2984596919383, 0.08173674620502207, 0.8478889736921785, 15.209441697780287, 18.62058516199698, 27.182612010810832
3135, 627.498299659932, 0.08172080493195726, 0.8477539120835786, 15.207349535366992, 18.618091606045663, 27.178869414809544
3136, 627.6981396279256, 0.08170487213428376, 0.8476189150070016, 15.205258342810794, 18.615599196447448, 27.175128503027494
3137, 627.8979795959192, 0.08168894780472902, 0.8474839824110677, 15.203168119346126, 18.61310793230207, 27.171389274181053
3138, 628.0978195639127, 0.08167303193602908, 0.8473491142444544, 15.201078864208261, 18.610617812710263, 27.167651726987973
3139, 628.2976595319063, 0.08165712452092856, 0.8472143104558962, 15.198990576633346, 18.608128836773776, 27.163915860167382
3140, 628.4974994999, 0.08164122555218063, 0.8470795709941848, 15.196903255858357, 18.605641003595334, 27.160181672439787
3141, 628.6973394678936, 0.08162533502254707, 0.8469448958081695, 15.194816901121138, 18.603154312278665, 27.156449162527064
3142, 628.8971794358871, 0.0816094529247981, 0.8468102848467557, 15.192731511660373, 18.600668761928507, 27.15271832915247
3143, 629.0970194038807, 0.08159357925171257, 0.8466757380589057, 15.19064708671559, 18.59818435165056, 27.148989171040604
3144, 629.2968593718743, 0.08157771399607776, 0.846541255393639, 15.188563625527172, 18.595701080551542, 27.145261686917475
3145, 629.496699339868, 0.08156185715068953, 0.8464068368000319, 15.186481127336341, 18.59321894773915, 27.141535875510424
3146, 629.6965393078616, 0.08154600870835217, 0.8462724822272168, 15.184399591385164, 18.590737952322065, 27.137811735548155
3147, 629.8963792758551, 0.08153016866187844, 0.846138191624383, 15.182319016916557, 18.588258093409976, 27.134089265760764
3148, 630.0962192438487, 0.08151433700408965, 0.8460039649407759, 15.180239403174262, 18.585779370113524, 27.130368464879673
3149, 630.2960592118424, 0.08149851372781541, 0.8458698021256974, 15.178160749402872, 18.58330178154436, 27.12664933163768
3150, 630.495899179836, 0.08148269882589393, 0.845735703128506, 15.176083054847824, 18.580825326815113, 27.12293186476893
