index, exposure (ty), pp, 7Be, 13N, 15O, pep, v capture
1465, 293.76555311062214, 0.0818610972592012, 0.48957830854542167, 10.044695576627243, 12.092017434696784, 15.783408955853083, 25.75625649203735
1466, 293.9653930786157, 0.08182302806042427, 0.4894099715023758, 10.041756950183816, 12.088746052239696, 15.779169203368069, 25.74680427907508
1467, 294.16523304660933, 0.08178500415382116, 0.48924180798920935, 10.03882128367612, 12.085477893487957, 15.774933788358478, 25.73736120470553
1468, 294.3650730146029, 0.08174702545398525, 0.4890738177080032, 10.035888572010323, 12.082212952963554, 15.770702703119484, 25.727927254618276
1469, 294.5649129825965, 0.08170909187572976, 0.48890600036155357, 10.03295881010499, 12.078951225201694, 15.766475939965744, 25.71850241453384
1470, 294.7647529505901, 0.081671203334087, 0.4887383556533703, 10.03003199289104, 12.075692704750752, 15.76225349123132, 25.709086670203657
1471, 294.9645929185837, 0.08163335974430759, 0.4885708832876741, 10.027108115311712, 12.072437386172238, 15.758035349269637, 25.699680007409942
1472, 295.1644328865773, 0.08159556102185989, 0.48840358296939484, 10.024187172322529, 12.069185264040753, 15.753821506453406, 25.69028241196564
1473, 295.3642728545709, 0.08155780708242913, 0.48823645440416885, 10.021269158891249, 12.065936332943936, 15.749611955174569, 25.680893869714325
1474, 295.5641128225645, 0.08152009784191681, 0.488069497298337, 10.018354069997836, 12.062690587482452, 15.745406687844236, 25.671514366530115
1475, 295.7639527905581, 0.08148243321644001, 0.48790271135894286, 10.015441900634416, 12.059448022269926, 15.741205696892614, 25.662143888317598
1476, 295.9637927585517, 0.08144481312233065, 0.48773609629372994, 10.012532645805242, 12.056208631932904, 15.737008974768948, 25.652782421011736
1477, 296.1636327265453, 0.08140723747613474, 0.4875696518111401, 10.009626300526662, 12.052972411110833, 15.732816513941463, 25.643429950577783
1478, 296.36347269453887, 0.08136970619461178, 0.4874033776203108, 10.006722859827068, 12.049739354456003, 15.728628306897308, 25.634086463011222
1479, 296.5633126625325, 0.08133221919473406, 0.48723727343107354, 10.003822318746863, 12.046509456633506, 15.724444346142471, 25.624751944337653
1480, 296.76315263052606, 0.08129477639368593, 0.4870713389539514, 10.000924672338433, 12.043282712321211, 15.720264624201743, 25.615426380612725
1481, 296.9629925985197, 0.08125737770886307, 0.4869055739001572, 9.998029915666095, 12.040059116209708, 15.716089133618642, 25.606109757922056
1482, 297.1628325665133, 0.08122002305787196, 0.48673997798159097, 9.995138043806074, 12.036838663002284, 15.71191786695536, 25.596802062381133
1483, 297.3626725345069, 0.08118271235852904, 0.48657455091083823, 9.992249051846452, 12.033621347414867, 15.707750816792698, 25.587503280135266
1484, 297.5625125025005, 0.08114544552886013, 0.48640929240116765, 9.989362934887144, 12.030407164176008, 15.70358797573001, 25.578213397359463
1485, 297.7623524704941, 0.08110822248709972, 0.48624420216652936, 9.98647968803985, 12.027196108026814, 15.699429336385132, 25.568932400258387
1486, 297.9621924384877, 0.08107104315169027, 0.48607927992155203, 9.983599306428022, 12.023988173720939, 15.695274891394334, 25.55966027506624
1487, 298.1620324064813, 0.08103390744128164, 0.4859145253815419, 9.980721785186839, 12.020783356024523, 15.691124633412256, 25.55039700804671
1488, 298.3618723744749, 0.08099681527473025, 0.48574993826247975, 9.977847119463153, 12.017581649716165, 15.686978555111853, 25.541142585492885
1489, 298.56171234246847, 0.08095976657109866, 0.4855855182810197, 9.974975304415459, 12.014383049586883, 15.682836649184322, 25.531896993727155
1490, 298.7615523104621, 0.08092276124965461, 0.48542126515448625, 9.972106335213862, 12.01118755044007, 15.678698908339058, 25.52266021910116
